6.3,6.5,8.9,15,19.1,20.4,26.4,29.4,23.7,19.5,12.7,7.7
6.6,5.4,9.2,12.7,18.1,22.6,26.2,26,22.4,18,13.2,9.3
6.8,7,10.5,15.2,19.2,22.7,26.6,27,22.9,18.7,14.3,9.2
5.3,7,10.1,16.3,20.5,21.5,25.3,27.2,24.4,20.1,13.9,9
6.6,6.7,10.1,15,19.9,22.8,25.9,28.5,26.2,19.5,14.2,9
7.6,6,9.4,14.5,19.8,22.5,27.7,28.3,25.6,18.8,13.3,8.8
4.9,6.6,9.8,15.7,19.5,23.1,28.5,26.4,23.2,18.7,13.1,8.4
7.4,7.9,12.2,16.1,18.4,21.6,28,28,23.1,19,11.6,7.2
5.5,6.4,8.7,15.1,18.8,23.2,22.8,26,24.2,17.8,14.4,9.2
6.3,8.5,9.8,16.4,19.6,23.7,28.5,27.2,25.1,17.5,15.6,9.9
6.1,6.2,9,15.1,17.7,23.2,25.6,28.1,24.7,19.2,13.3,6.4
5.1,6.7,9.8,13.6,19,22.5,25.6,27.5,23.5,19.5,14.4,9.5
7.6,8.6,10.8,13.7,19.8,23.2,24.4,29,25.2,19,13.3,9
5.9,5.5,10.7,14.7,18.5,21.3,27,26.8,24.4,19.4,13.1,9.8
6.8,7.8,10,15.7,20.1,22.5,26.3,26.6,23,19,13.5,9
7,6.5,9.1,12.4,19,23.6,28,29.6,25.1,18.9,13.5,9.9
5.1,7,8.1,14.5,18.5,22.8,27.3,27.5,25.1,19.5,14.9,7.5
4.8,5.4,8.8,14.5,19.6,21.4,26.4,29.1,26.2,19.4,12.7,7.3
5.5,6.2,12.1,15.2,19.8,22.9,27.3,29.2,25.2,19.8,13.5,8.3
6.3,5.9,10.4,15,20.3,23.4,26.8,27.7,23.2,19.1,14.2,6.7
5.8,5.7,10.3,14.5,21.1,22.1,26.2,26.7,22.6,18.4,13.9,9.3
6.1,7.2,10.1,15.4,20.2,22.4,25.4,27.1,24.4,18.7,11.4,8.9
5.8,6.9,8.5,14.7,20,22,27.3,26.4,22.8,16.8,11.9,6.6
4.7,5.4,11.5,17,19.8,22.4,28.3,28.1,22.9,19.1,14,8.3
5.6,7.2,10.6,13.6,20,21.8,24.1,28.4,25.1,19.4,13.1,8.5
7.1,8.3,10.7,12.8,19.5,23.2,24.3,29.1,24.2,17.5,14,7.7
